Values,POW.AF3.Theta,POW.AF3.Alpha,POW.AF3.BetaL,POW.AF3.BetaH,POW.AF3.Gamma,POW.T7.Theta,POW.T7.Alpha,POW.T7.BetaL,POW.T7.BetaH,POW.T7.Gamma,POW.Pz.Theta,POW.Pz.Alpha,POW.Pz.BetaL,POW.Pz.BetaH,POW.Pz.Gamma,POW.T8.Theta,POW.T8.Alpha,POW.T8.BetaL,POW.T8.BetaH,POW.T8.Gamma,POW.AF4.Theta,POW.AF4.Alpha,POW.AF4.BetaL,POW.AF4.BetaH,POW.AF4.Gamma
0.0,1.836132,2.205276,0.808836,0.788381,0.500125,1.108223,0.74246,0.858619,1.368264,1.712397,2.365944,0.983307,0.774317,0.83008,0.379203,2.59503,2.583197,4.780698,10.996698,7.868829,1.88501,3.268224,0.611677,0.775044,0.476496
0.0,2.084131,2.390968,0.921867,0.832416,0.527045,0.868247,0.98224,0.853494,1.438124,1.752046,2.063581,1.186364,0.837815,0.972883,0.403072,2.672092,2.170424,4.662278,12.640583,7.19702,2.015721,3.351294,0.832968,0.846477,0.478584
0.0,2.341595,2.617185,1.071298,0.83873,0.547248,0.707031,1.291835,0.926039,1.492496,1.733034,1.824427,1.496813,0.95061,1.054862,0.42229,2.789233,1.900232,4.541276,13.701469,6.600473,2.206173,3.472467,1.099215,0.890783,0.476587
0.0,2.568881,2.792645,1.221627,0.823625,0.547854,0.613901,1.582758,1.05583,1.504212,1.627511,1.69126,1.825249,1.048109,1.055656,0.430383,2.836186,1.737966,4.564019,13.875364,6.137943,2.419827,3.507147,1.300104,0.899006,0.462365
0.0,2.75864,2.840709,1.374466,0.821089,0.525054,0.58825,1.758934,1.21912,1.467923,1.45784,1.712707,2.097008,1.087237,0.979697,0.425073,2.885662,1.697466,4.794294,13.111251,5.829849,2.65095,3.362825,1.37959,0.881289,0.433944
0.0,2.874162,2.753575,1.544652,0.863255,0.486604,0.605477,1.759276,1.38072,1.403346,1.27008,1.921105,2.273767,1.045611,0.854201,0.408212,3.125524,1.902028,5.121635,11.655263,5.65604,2.869118,3.045122,1.338553,0.8649,0.398369
0.0,2.929659,2.596927,1.725261,0.960759,0.446877,0.6298,1.587675,1.508995,1.352165,1.106224,2.267985,2.360169,0.934955,0.721936,0.385034,3.638669,2.435968,5.413829,9.940858,5.581297,3.088629,2.649059,1.215365,0.880305,0.367121
0.0,2.932142,2.473895,1.885579,1.094757,0.418468,0.628695,1.311041,1.579789,1.365204,0.991448,2.648487,2.374043,0.787103,0.618699,0.360456,4.336532,3.231045,5.586616,8.409571,5.57731,3.256841,2.303217,1.064391,0.9382,0.348356
0.0,2.899045,2.442511,1.978563,1.222119,0.405093,0.605764,1.024768,1.583525,1.466034,0.929073,2.918195,2.338233,0.64694,0.559663,0.336943,4.955153,4.102135,5.567597,7.395464,5.619808,3.325004,2.092238,0.943468,1.023166,0.341571
0.0,2.826753,2.468974,1.961977,1.298117,0.400793,0.576816,0.804567,1.526421,1.629754,0.908596,2.977789,2.260964,0.54513,0.535071,0.315542,5.241194,4.771283,5.341215,7.00373,5.707869,3.221747,1.999351,0.880998,1.101802,0.339881
0.0,2.715405,2.473818,1.83785,1.299841,0.395434,0.564222,0.678037,1.433137,1.78969,0.917954,2.811833,2.138838,0.49491,0.523056,0.296768,5.015752,4.987559,4.972936,7.105998,5.846521,2.954102,1.963252,0.878837,1.140514,0.334267
0.0,2.59324,2.382029,1.642489,1.232207,0.382643,0.581902,0.623775,1.332053,1.871556,0.95074,2.526753,1.965387,0.486374,0.505722,0.282216,4.335618,4.654175,4.54945,7.503584,6.016646,2.597169,1.905367,0.915539,1.123314,0.320571
0.0,2.520896,2.166275,1.451643,1.12651,0.364477,0.629514,0.595672,1.251271,1.830068,1.001747,2.300468,1.762104,0.499465,0.474147,0.272641,3.394411,3.904336,4.107951,8.009251,6.183494,2.305246,1.780295,0.973272,1.056099,0.30169
0.0,2.537212,1.888291,1.334584,1.02098,0.348762,0.670359,0.554596,1.210922,1.673737,1.060274,2.24498,1.567703,0.51908,0.43213,0.267916,2.47472,3.016387,3.656054,8.496849,6.313557,2.270923,1.647094,1.041094,0.960242,0.286565
0.0,2.624149,1.638676,1.312198,0.938723,0.343346,0.685461,0.487307,1.210719,1.468515,1.114085,2.324218,1.4127,0.541448,0.39167,0.266494,1.746614,2.266306,3.221698,8.94964,6.373271,2.63948,1.605516,1.101097,0.855289,0.284008
0.0,2.749765,1.449329,1.340018,0.884125,0.35247,0.682388,0.400994,1.220663,1.302085,1.1572,2.429283,1.305084,0.55865,0.369299,0.263623,1.268388,1.798362,2.82064,9.415882,6.356488,3.393569,1.68203,1.132342,0.757122,0.29684
0.0,2.854904,1.341588,1.357954,0.850807,0.377633,0.677095,0.317434,1.210345,1.237436,1.194107,2.439202,1.259873,0.565563,0.380094,0.257627,1.002901,1.615517,2.479344,9.917192,6.27667,4.34057,1.852221,1.141402,0.678001,0.324618
0.0,2.891923,1.302713,1.339292,0.828966,0.417097,0.692614,0.260411,1.160505,1.288477,1.233688,2.308344,1.31369,0.564726,0.429712,0.251625,0.86773,1.632152,2.269611,10.370427,6.164602,5.154957,2.040866,1.154652,0.624404,0.363564
0.0,2.813383,1.288667,1.291651,0.814648,0.463553,0.743597,0.237773,1.05976,1.421158,1.277149,2.062971,1.47935,0.557074,0.51312,0.250388,0.804947,1.748733,2.283938,10.643614,6.059849,5.514579,2.147179,1.192029,0.59843,0.405648
