Values,POW.AF3.Theta,POW.AF3.Alpha,POW.AF3.BetaL,POW.AF3.BetaH,POW.AF3.Gamma,POW.T7.Theta,POW.T7.Alpha,POW.T7.BetaL,POW.T7.BetaH,POW.T7.Gamma,POW.Pz.Theta,POW.Pz.Alpha,POW.Pz.BetaL,POW.Pz.BetaH,POW.Pz.Gamma,POW.T8.Theta,POW.T8.Alpha,POW.T8.BetaL,POW.T8.BetaH,POW.T8.Gamma,POW.AF4.Theta,POW.AF4.Alpha,POW.AF4.BetaL,POW.AF4.BetaH,POW.AF4.Gamma
0.0,349.397919,129.28685,53.378376,60.562263,41.150116,140.744415,218.133026,83.545677,44.550869,29.111898,59.121078,123.659584,56.366322,58.346851,30.634857,77.218048,40.62291,24.287485,16.850235,6.365269,87.607407,290.292908,117.811058,62.249531,36.968319
0.0,329.433868,117.693573,49.872643,60.291702,41.862587,148.850922,252.341415,83.180664,43.459457,29.372585,60.735821,135.91687,50.416779,56.806938,35.0933,79.311722,42.317616,23.363947,15.918412,7.787787,88.761299,316.893066,132.224197,55.513046,39.568684
0.0,295.785919,104.837624,49.482853,56.296471,44.079563,144.01886,281.511108,77.713387,43.334084,30.097797,63.334297,142.763306,50.981144,54.503555,39.713146,72.806694,47.22374,22.200794,14.523387,9.31592,92.376625,321.229797,137.876068,49.791252,41.317757
0.0,254.598389,91.235924,50.334614,50.068832,47.756718,125.199913,297.359161,66.920525,43.014099,31.911209,64.423042,138.33551,54.353489,51.590702,43.909454,58.818485,53.171078,20.39801,13.059114,10.697696,97.347023,301.30127,132.43428,46.611465,42.32703
0.0,212.433365,76.232307,51.365749,44.032524,52.708633,96.983696,293.977661,53.08157,41.231819,35.460987,61.975071,122.255936,56.793903,47.968235,47.4562,42.28896,57.302441,17.94593,11.988989,11.787169,100.836617,261.052277,117.76593,46.784584,43.399433
0.0,174.641052,60.323009,52.638004,40.422016,58.737938,67.050522,269.990234,40.114265,37.716034,41.404652,56.359253,99.59333,56.426414,43.476189,50.682327,29.232769,57.799862,15.414829,11.581992,12.652389,101.220917,208.813278,98.83757,49.732006,46.513866
0.0,144.158722,45.747295,54.346722,40.651638,66.456589,43.40797,229.385193,31.250553,33.400745,50.73777,50.046104,77.783752,53.775749,38.868355,54.813896,23.988333,54.690147,13.445514,11.773713,13.574787,99.349342,154.931046,80.907951,53.990387,54.739475
0.0,120.497337,35.494858,56.574215,44.9034,77.060219,30.984468,180.353348,28.252956,30.135639,64.357254,46.190514,62.467304,49.433044,35.502808,61.659298,27.403908,49.159828,12.351687,12.290025,14.831975,96.961754,108.336578,66.725945,57.660664,71.080269
0.0,103.793991,30.241888,59.92313,52.402229,91.657036,28.951044,132.743683,30.801418,29.906816,82.425255,46.993187,55.700493,44.138657,34.527664,72.606422,36.617485,42.790138,11.835407,12.836524,16.512609,96.248856,74.519127,57.163227,60.618298,97.085426
0.0,93.813255,28.589949,64.785652,61.400578,110.814964,32.905323,94.6455,37.921101,34.651962,103.803024,52.733055,56.098537,39.022289,36.252686,87.939812,46.774891,36.750404,11.466356,13.379965,18.4858,98.385521,55.410938,51.323803,64.016495,132.654617
0.0,88.393959,28.773376,70.764053,70.357765,133.671524,38.567402,69.919449,48.445351,45.221333,125.958656,62.574272,60.017143,35.395042,40.059036,106.593811,53.592915,31.424194,11.002826,14.182621,20.446182,102.755714,48.732525,47.044361,69.349602,175.643082
0.0,84.974358,28.7089,76.609245,78.14106,157.989624,44.353745,56.781601,60.893639,60.242207,145.596924,75.195847,64.459076,34.556145,45.024357,126.368507,54.953983,26.630775,10.394881,15.368574,22.077448,108.76825,49.069206,42.925201,77.054733,221.687302
0.0,81.635941,27.587818,80.465263,84.087387,180.928864,50.188236,51.175014,73.222725,75.953758,159.86644,89.065239,68.984024,37.546612,50.349964,144.83876,50.579887,22.261562,9.644432,16.7705,23.223684,115.172119,52.615532,38.447037,86.059464,265.247162
0.0,76.819824,25.762562,80.560135,88.295105,199.844009,55.910522,49.362396,82.894562,87.564575,167.732391,102.378151,74.021355,43.664455,56.022797,160.216263,42.23719,18.201015,8.812653,17.946747,23.887873,121.955246,58.593597,33.981911,94.386749,301.158966
0.0,70.487572,24.616127,76.30529,91.515869,212.612305,61.022049,47.422901,86.743469,91.275406,170.383804,113.053215,80.242073,50.466866,62.64999,171.620697,32.599724,14.248025,7.82363,18.305937,24.153,128.515274,66.494331,30.268938,99.761505,325.995514
0.0,64.514206,25.560038,69.186569,94.178078,218.24028,64.851753,44.021046,83.66301,86.038078,170.820587,120.487419,88.249001,54.429775,70.886948,178.738129,24.476398,10.655439,6.673625,17.510733,24.134577,134.400986,75.284988,27.818092,100.89679,338.235443
0.0,61.416466,29.087763,62.074104,95.818581,217.371262,67.574348,40.19368,74.871445,73.976501,172.314972,124.582642,96.896111,53.141411,81.105331,181.259018,19.415783,8.097203,5.514932,15.674391,23.935497,136.912689,83.393028,26.257381,98.119911,337.91217
0.0,61.999687,34.428001,57.625984,95.204445,211.797745,69.465706,36.892532,62.725243,59.202103,176.717651,125.223564,103.48716,47.145092,93.258919,178.794571,17.544472,6.958329,4.499179,13.250877,23.593822,132.83165,88.534225,25.358692,93.221001,326.344574
0.0,65.065819,40.037464,57.149448,91.286415,203.800201,70.746475,34.364159,50.459866,46.034248,184.325745,122.666275,105.990318,39.144165,106.606071,171.993515,17.5504,6.983886,3.803374,10.886353,23.173197,120.026573,88.655212,26.054028,88.847443,306.611511
0.0,68.03933,43.917393,59.244411,83.998985,195.812958,71.003265,32.592613,41.102421,37.616272,194.809799,118.177986,103.166008,32.844223,119.629333,163.330017,17.958788,7.696685,3.556476,9.185395,22.865982,99.998848,83.247429,30.286104,86.907059,284.095154
0.0,68.698692,44.557064,60.696476,74.255043,189.844421,69.861809,31.20874,35.680641,34.913746,207.220917,114.138344,95.614265,30.973669,130.682144,156.504745,18.068464,8.72788,3.788398,8.434114,22.889481,77.447144,73.729027,38.962227,87.674072,264.951019
0.0,65.876541,41.535557,59.01638,64.18692,187.170074,67.892517,30.176813,33.629333,36.796822,220.177292,112.271935,85.290924,33.429115,138.902252,154.793213,18.114353,9.898232,4.49731,8.553442,23.372375,59.568394,62.12767,51.224392,90.191589,253.932266
0.0,60.598591,36.826778,54.044342,55.521816,188.371552,67.208969,30.380915,33.805496,41.146042,232.716171,112.641777,74.420135,37.870739,144.147583,159.668991,18.61776,11.345608,5.622408,9.207362,24.323816,52.19944,50.407108,64.871429,93.203308,252.693253
0.0,54.716991,34.591507,48.516438,49.6059,193.556564,70.989967,33.024174,37.096233,46.867702,245.103485,113.829903,64.824524,42.071869,147.304337,170.614716,20.146288,13.321288,7.333249,10.079334,25.717424,56.643967,41.11742,78.047356,96.390022,259.346649
0.0,50.287678,39.696926,46.067245,48.164085,201.800568,83.178551,38.603371,46.986237,55.357746,257.353699,114.295021,57.697701,46.65509,150.09314,185.05864,22.682413,15.845851,9.806558,11.182804,27.373064,69.887131,36.583267,90.734161,100.592346,268.694824
0.0,48.86615,56.528072,49.41943,52.31617,210.263107,104.703468,47.43935,66.511421,68.217766,267.483673,111.113571,54.506252,54.834038,153.891586,198.106354,25.879541,18.777096,12.787992,12.696248,28.816338,85.670074,39.835041,104.941589,105.9412,273.26181
0.0,51.801651,85.94799,58.59428,61.249634,214.911682,133.234619,59.886448,95.122856,84.919487,271.296417,101.964516,54.756668,69.997643,158.290359,203.934616,28.995516,21.793795,15.542573,14.602576,29.371292,97.812401,56.729107,125.108574,112.461586,266.318665
0.0,63.783367,124.596535,71.973419,72.380676,211.967941,166.943497,76.290718,127.792397,102.558472,264.011261,89.541489,58.466496,91.388191,161.466232,198.181458,31.218712,24.664503,17.399757,16.570709,28.426363,104.931137,92.150551,152.626389,120.850098,245.02977
0.0,90.221306,165.226379,87.44944,82.528816,199.209915,206.04129,96.815338,156.598938,116.729103,242.741974,83.45446,68.076714,115.503098,161.642532,179.731796,32.420803,27.299797,18.113014,18.094038,25.708202,110.659561,145.669174,183.221329,131.399078,211.55838
0.0,135.482361,198.183441,102.365044,89.310135,177.150253,250.909622,121.33551,175.587357,124.177612,208.335663,93.830437,85.697212,140.686142,158.073669,151.432281,32.304981,29.863928,17.798075,18.806498,21.503307,119.961975,209.740448,211.134659,143.054993,171.909622
0.0,198.415802,216.413391,115.855659,92.565788,149.945297,298.77182,148.354095,183.739075,124.830376,166.244034,124.040642,110.895927,165.845352,150.958435,119.231667,31.54677,32.408611,16.996843,18.742313,16.668165,135.960861,270.402863,233.499115,154.318192,133.47789
0.0,269.410248,219.802994,129.392242,95.788757,124.684814,340.448975,177.114578,186.480408,123.001183,125.231773,167.223419,141.24353,192.39444,141.414444,90.507179,29.727959,34.698006,16.483137,18.377926,12.371634,157.193207,311.383545,251.080399,164.189407,103.207184
0.0,335.328003,216.465851,147.986664,104.400795,108.830063,363.142303,207.730789,189.534637,126.234581,94.524292,211.370712,172.357742,220.471039,132.937851,71.861801,28.077433,36.259476,16.970631,18.435488,9.673267,177.281143,320.531525,264.535156,174.594147,86.356277
0.0,384.205902,221.727661,173.732056,121.641449,107.30484,357.108704,238.95694,194.465866,142.398697,80.330437,244.195129,199.718643,245.693649,130.50325,66.863647,25.341284,36.553467,18.585096,19.418968,9.080448,189.452774,296.26358,273.686401,189.71283,85.104897
0.0,411.192932,251.101578,204.145187,145.396957,120.181503,316.393158,267.463348,200.812592,173.406998,82.680992,257.311829,222.91188,261.256989,137.047836,74.20137,22.994417,35.254791,20.655249,21.325565,10.291496,189.728958,247.650253,275.484802,212.444977,97.030556
0.0,417.568512,309.854462,233.353592,168.969406,142.170807,250.521317,288.458282,210.380905,212.586609,95.238846,249.186905,244.074966,261.986511,150.92897,88.564423,19.342699,32.294918,22.185171,23.630583,12.280472,180.628067,189.963791,266.159058,240.356689,115.818962
0.0,411.640533,387.203674,253.216827,184.190994,165.465164,179.483765,297.854767,227.680161,247.503052,109.638771,226.03154,264.837494,246.974991,166.332169,104.171135,16.951504,28.202471,22.329922,25.577887,13.889152,166.607635,137.556915,243.138733,266.94104,134.538696
0.0,400.635101,458.083435,255.661865,186.125229,183.017059,126.857224,292.915497,254.136978,266.289032,120.574539,195.971817,283.183716,219.952927,177.649597,117.970215,15.121891,23.832033,20.789965,26.706678,14.481672,154.918472,99.455841,207.568344,284.816406,149.351868
0.0,388.495483,496.540741,237.840302,177.354568,190.035233,106.721016,274.352722,289.561066,263.176941,128.076782,166.058899,294.068054,189.057724,182.029572,130.401962,15.903113,19.99221,17.816727,26.97991,14.047223,149.462479,78.778931,165.588638,290.266479,160.961655
0.0,375.155182,487.137177,204.111938,167.71814,185.730927,119.978653,247.328278,331.927155,240.753815,136.138077,140.948441,292.178284,163.185364,179.863968,143.705704,17.452122,17.100826,14.30962,26.721306,13.020282,150.749481,73.946854,126.705742,285.91449,172.378738
0.0,358.530731,431.026276,164.892075,170.586823,174.523285,154.137543,219.152374,372.945892,208.29451,150.626755,123.652908,275.020172,146.11438,172.710052,159.992981,20.380438,15.15627,11.07632,26.218645,11.984269,157.376404,81.254181,98.224503,277.673126,186.531998
0.0,335.733337,346.264923,131.716736,195.392395,164.558441,191.422836,193.717728,399.607056,176.6689,175.60939,114.45002,243.953461,134.844055,162.560013,180.067261,21.682652,13.910188,8.600493,25.544085,11.344398,166.056152,98.179604,82.415306,271.359955,203.776047
